time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-04T02:59:23.300Z,33.5004997,-116.5179977,9.99,3.2,ml,115,30,0.05788,0.2,ci,ci39126951,2020-04-04T22:06:32.617Z,"16km ESE of Anza, CA",earthquake,0.17,0.4,0.205,18,reviewed,ci,ci
2020-04-04T02:57:46.944Z,44.3362,-115.2293,10,2.7,ml,,60,0.93,0.81,us,us70008nat,2020-04-04T03:22:23.530Z,"67km ESE of Cascade, Idaho",earthquake,3.2,2,0.049,54,reviewed,us,us
2020-04-04T02:40:06.390Z,18.0211,-66.7485,15,3.24,md,20,130,0.1386,0.12,pr,pr2020095003,2020-04-04T22:08:18.397Z,"1km SE of Santo Domingo, Puerto Rico",earthquake,0.27,0.38,0.09,13,reviewed,pr,pr
2020-04-04T02:26:34.187Z,44.4028,-115.1776,10,2.8,ml,,93,0.901,1.03,us,us70008nac,2020-04-04T10:29:28.871Z,"69km E of Cascade, Idaho",earthquake,2.9,2,0.055,44,reviewed,us,us
2020-04-04T02:16:24.870Z,33.4971667,-116.5178333,8.43,2.61,ml,79,28,0.06117,0.25,ci,ci39126455,2020-04-04T11:47:25.634Z,"16km ESE of Anza, CA",earthquake,0.22,0.75,0.207,26,automatic,ci,ci
2020-04-04T02:05:00.170Z,33.4946667,-116.5153333,10.28,3.66,mw,145,23,0.06402,0.2,ci,ci39126263,2020-04-05T00:45:43.104Z,"16km ESE of Anza, CA",earthquake,0.1,0.26,,4,reviewed,ci,ci
2020-04-04T01:56:57.780Z,33.5006667,-116.4983333,10.18,2.57,ml,49,52,0.06291,0.26,ci,ci39126135,2020-04-04T09:59:32.229Z,"17km ESE of Anza, CA",earthquake,0.3,0.9,0.133,27,automatic,ci,ci
2020-04-04T01:55:35.900Z,33.4824982,-116.4836655,8.61,2.99,ml,77,33,0.08853,0.19,ci,ci39126103,2020-04-04T23:41:38.985Z,"19km ESE of Anza, CA",earthquake,0.22,0.67,0.23,11,reviewed,ci,ci
2020-04-04T01:55:32.890Z,33.5024986,-116.5,9.56,2.92,ml,40,59,0.06066,0.22,ci,ci39126095,2020-04-04T13:30:41.035Z,"17km ESE of Anza, CA",earthquake,0.32,0.67,0.408,19,automatic,ci,ci
2020-04-04T01:54:22.570Z,33.4931667,-116.505,10.31,3.76,mlr,128,28,0.06774,0.23,ci,ci39126087,2020-04-05T00:48:36.751Z,"17km ESE of Anza, CA",earthquake,0.11,0.29,0.244,14,reviewed,ci,ci
2020-04-04T01:53:18.920Z,33.4895,-116.5063333,10.45,4.87,mw,175,23,0.07088,0.22,ci,ci39126079,2020-04-05T01:16:38.346Z,"17km ESE of Anza, CA",earthquake,0.1,0.27,,6,reviewed,ci,ci
2020-04-04T01:52:50.705Z,-55.9099,-27.744,72.96,5.1,mb,,104,5.279,0.85,us,us70008n9q,2020-04-04T02:10:20.040Z,"94km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.2,7.7,0.088,42,reviewed,us,us
2020-04-04T01:46:10.696Z,44.517,-115.1978,10,3,ml,,54,0.807,0.49,us,us70008n98,2020-04-04T13:57:33.410Z,"67km E of Cascade, Idaho",earthquake,2.9,2,0.048,58,reviewed,us,us
2020-04-04T01:41:31.840Z,44.4985,-115.2108,10,2.6,ml,,61,0.814,0.49,us,us70008n94,2020-04-04T02:52:06.040Z,"66km E of Cascade, Idaho",earthquake,2.9,2,0.056,42,reviewed,us,us
